origin,55,30,25
vertex,555,0.97,-0.26,0.25
vertex,556,0.85,-0.23,0.22
vertex,557,0.76,-0.20,0.12
vertex,558,0.72,-0.19,0.00
vertex,559,0.76,-0.20,-0.12
vertex,560,0.85,-0.23,-0.22
vertex,561,0.97,-0.26,-0.25
vertex,562,1.09,-0.29,-0.22
vertex,563,1.18,-0.31,-0.12
vertex,564,1.24,-0.16,0.00
vertex,565,1.21,-0.16,0.12
vertex,566,1.12,-0.15,0.22
vertex,567,0.99,-0.13,0.25
vertex,568,0.87,-0.11,0.22
vertex,569,0.78,-0.10,0.12
vertex,570,0.74,-0.10,0.00
vertex,571,0.78,-0.10,-0.12
vertex,572,0.87,-0.11,-0.22
vertex,573,0.99,-0.13,-0.25
vertex,574,1.12,-0.15,-0.22
vertex,575,1.21,-0.16,-0.12
edge,0,1
edge,257,258
edge,514,515
edge,0,11
edge,0,12
edge,257,269
edge,514,526
edge,16,17
edge,273,274
edge,530,531
edge,16,28
edge,273,285
edge,530,542
edge,32,33
edge,289,290
edge,546,547
edge,32,44
edge,289,301
edge,546,558
edge,48,49
edge,305,306
edge,562,563
edge,2,566
edge,48,59
edge,48,60
edge,305,317
edge,562,574
edge,64,65
edge,321,322
edge,64,76
edge,321,333
edge,80,81
edge,337,338
edge,80,92
edge,337,349
edge,96,97
edge,353,354
edge,96,107
edge,96,108
edge,353,365
edge,112,113
edge,369,370
edge,112,124
edge,369,381
edge,128,129
edge,385,386
edge,128,140
edge,385,397
edge,144,145
edge,401,402
edge,144,155
edge,144,156
edge,401,413
edge,160,161
edge,417,418
edge,160,172
edge,417,429
edge,176,177
edge,433,434
edge,176,188
edge,433,445
edge,192,193
edge,449,450
edge,192,203
edge,192,204
edge,449,461
edge,208,209
edge,465,466
edge,208,220
edge,465,477
edge,224,225
edge,481,482
edge,224,236
edge,481,493
edge,240,241
edge,497,498
edge,240,251
edge,240,252
edge,497,509
edge,256,257
edge,1,2
edge,256,268
edge,1,13
edge,515,527
edge,272,273
edge,17,18
edge,531,532
edge,272,284
edge,17,29
edge,531,543
edge,288,289
edge,33,34
edge,547,548
edge,288,299
edge,288,300
edge,33,45
edge,547,559
edge,304,305
edge,49,50
edge,3,567
edge,304,316
edge,49,61
edge,563,575
edge,320,321
edge,65,66
edge,320,332
edge,65,77
edge,336,337
edge,81,82
edge,336,347
edge,336,348
edge,81,93
edge,352,353
edge,97,98
edge,352,364
edge,97,109
edge,368,369
edge,113,114
edge,8,572
edge,368,380
edge,113,125
edge,384,385
edge,129,130
edge,384,395
edge,384,396
edge,129,141
edge,400,401
edge,145,146
edge,400,412
edge,145,157
edge,416,417
edge,161,162
edge,416,428
edge,161,173
edge,432,433
edge,177,178
edge,432,443
edge,432,444
edge,177,189
edge,448,449
edge,193,194
edge,448,460
edge,193,205
edge,464,465
edge,209,210
edge,464,476
edge,209,221
edge,480,481
edge,225,226
edge,480,491
edge,480,492
edge,225,237
edge,496,497
edge,241,242
edge,496,508
edge,241,253
edge,512,513
edge,2,3
edge,259,260
edge,512,524
edge,2,14
edge,259,271
edge,528,529
edge,18,19
edge,528,539
edge,528,540
edge,18,30
edge,275,287
edge,544,545
edge,34,35
edge,291,292
edge,544,556
edge,34,46
edge,291,303
edge,560,561
edge,50,51
edge,307,308
edge,560,572
edge,50,62
edge,307,319
edge,66,67
edge,66,78
edge,323,335
edge,82,83
edge,339,340
edge,82,94
edge,339,351
edge,98,99
edge,355,356
edge,98,110
edge,355,367
edge,114,115
edge,114,126
edge,371,383
edge,130,131
edge,387,388
edge,130,142
edge,387,399
edge,146,147
edge,403,404
edge,146,158
edge,403,415
edge,162,163
edge,162,174
edge,419,431
edge,178,179
edge,435,436
edge,178,190
edge,435,447
edge,194,195
edge,451,452
edge,194,206
edge,451,463
edge,210,211
edge,210,222
edge,467,479
edge,226,227
edge,483,484
edge,226,238
edge,483,495
edge,242,243
edge,499,500
edge,242,254
edge,499,511
edge,513,514
edge,258,259
edge,3,4
edge,513,525
edge,258,270
edge,3,15
edge,529,530
edge,274,275
edge,19,20
edge,529,541
edge,274,286
edge,19,31
edge,545,546
edge,290,291
edge,545,557
edge,290,302
edge,35,47
edge,561,562
edge,306,307
edge,51,52
edge,1,565
edge,561,573
edge,306,318
edge,51,63
edge,322,323
edge,67,68
edge,322,334
edge,67,79
edge,338,339
edge,338,350
edge,83,95
edge,354,355
edge,99,100
edge,354,366
edge,99,111
edge,370,371
edge,115,116
edge,370,382
edge,115,127
edge,386,387
edge,386,398
edge,131,143
edge,402,403
edge,147,148
edge,402,414
edge,147,159
edge,418,419
edge,163,164
edge,418,430
edge,163,175
edge,434,435
edge,434,446
edge,179,191
edge,450,451
edge,195,196
edge,450,462
edge,195,207
edge,466,467
edge,211,212
edge,466,478
edge,211,223
edge,482,483
edge,482,494
edge,227,239
edge,498,499
edge,243,244
edge,498,510
edge,243,255
edge,245,257
edge,502,514
edge,4,5
edge,261,262
edge,518,519
edge,4,16
edge,261,273
edge,518,530
edge,20,21
edge,277,278
edge,534,535
edge,20,32
edge,277,289
edge,534,546
edge,36,37
edge,293,294
edge,550,551
edge,36,47
edge,36,48
edge,293,305
edge,550,562
edge,52,53
edge,309,310
edge,566,567
edge,6,570
edge,52,64
edge,309,321
edge,68,69
edge,325,326
edge,68,80
edge,325,337
edge,84,85
edge,341,342
edge,84,95
edge,84,96
edge,341,353
edge,100,101
edge,357,358
edge,100,112
edge,357,369
edge,116,117
edge,373,374
edge,116,128
edge,373,385
edge,132,133
edge,389,390
edge,132,143
edge,132,144
edge,389,401
edge,148,149
edge,405,406
edge,148,160
edge,405,417
edge,164,165
edge,421,422
edge,164,176
edge,421,433
edge,180,181
edge,437,438
edge,180,191
edge,180,192
edge,437,449
edge,196,197
edge,453,454
edge,196,208
edge,453,465
edge,212,213
edge,469,470
edge,212,224
edge,469,481
edge,228,229
edge,485,486
edge,228,239
edge,228,240
edge,485,497
edge,244,245
edge,501,502
edge,244,256
edge,503,515
edge,260,261
edge,5,6
edge,519,520
edge,260,272
edge,5,17
edge,519,531
edge,276,277
edge,21,22
edge,535,536
edge,276,287
edge,276,288
edge,21,33
edge,535,547
edge,292,293
edge,37,38
edge,292,304
edge,37,49
edge,551,563
edge,308,309
edge,53,54
edge,567,568
edge,7,571
edge,308,320
edge,53,65
edge,324,325
edge,69,70
edge,324,335
edge,324,336
edge,69,81
edge,340,341
edge,85,86
edge,340,352
edge,85,97
edge,356,357
edge,101,102
edge,356,368
edge,101,113
edge,372,373
edge,117,118
edge,372,383
edge,372,384
edge,117,129
edge,388,389
edge,133,134
edge,388,400
edge,133,145
edge,404,405
edge,149,150
edge,404,416
edge,149,161
edge,420,421
edge,165,166
edge,420,431
edge,420,432
edge,165,177
edge,436,437
edge,181,182
edge,436,448
edge,181,193
edge,452,453
edge,197,198
edge,452,464
edge,197,209
edge,468,469
edge,213,214
edge,468,479
edge,468,480
edge,213,225
edge,484,485
edge,229,230
edge,484,496
edge,229,241
edge,500,501
edge,245,246
edge,500,512
edge,247,259
edge,516,517
edge,6,7
edge,516,527
edge,516,528
edge,6,18
edge,263,275
edge,532,533
edge,22,23
edge,279,280
edge,532,544
edge,22,34
edge,279,291
edge,548,549
edge,38,39
edge,295,296
edge,548,560
edge,38,50
edge,295,307
edge,564,565
edge,54,55
edge,4,568
edge,564,575
edge,54,66
edge,311,323
edge,70,71
edge,327,328
edge,70,82
edge,327,339
edge,86,87
edge,343,344
edge,86,98
edge,343,355
edge,102,103
edge,102,114
edge,359,371
edge,118,119
edge,375,376
edge,118,130
edge,375,387
edge,134,135
edge,391,392
edge,134,146
edge,391,403
edge,150,151
edge,150,162
edge,407,419
edge,166,167
edge,423,424
edge,166,178
edge,423,435
edge,182,183
edge,439,440
edge,182,194
edge,439,451
edge,198,199
edge,198,210
edge,455,467
edge,214,215
edge,471,472
edge,214,226
edge,471,483
edge,230,231
edge,487,488
edge,230,242
edge,487,499
edge,246,247
edge,501,513
edge,246,258
edge,517,518
edge,262,263
edge,7,8
edge,517,529
edge,262,274
edge,7,19
edge,533,534
edge,278,279
edge,533,545
edge,278,290
edge,23,35
edge,549,550
edge,294,295
edge,39,40
edge,549,561
edge,294,306
edge,39,51
edge,565,566
edge,310,311
edge,55,56
edge,5,569
edge,310,322
edge,55,67
edge,326,327
edge,326,338
edge,71,83
edge,342,343
edge,87,88
edge,342,354
edge,87,99
edge,358,359
edge,103,104
edge,0,564
edge,358,370
edge,103,115
edge,374,375
edge,374,386
edge,119,131
edge,390,391
edge,135,136
edge,390,402
edge,135,147
edge,406,407
edge,151,152
edge,406,418
edge,151,163
edge,422,423
edge,422,434
edge,167,179
edge,438,439
edge,183,184
edge,438,450
edge,183,195
edge,454,455
edge,199,200
edge,454,466
edge,199,211
edge,470,471
edge,470,482
edge,215,227
edge,486,487
edge,231,232
edge,486,498
edge,231,243
edge,502,503
edge,247,248
edge,249,261
edge,506,518
edge,8,9
edge,265,266
edge,522,523
edge,8,20
edge,265,277
edge,522,534
edge,24,25
edge,281,282
edge,538,539
edge,24,35
edge,24,36
edge,281,293
edge,538,550
edge,40,41
edge,297,298
edge,554,555
edge,40,52
edge,297,309
edge,554,566
edge,56,57
edge,313,314
edge,570,571
edge,10,574
edge,56,68
edge,313,325
edge,72,73
edge,329,330
edge,72,83
edge,72,84
edge,329,341
edge,88,89
edge,345,346
edge,88,100
edge,345,357
edge,104,105
edge,361,362
edge,104,116
edge,361,373
edge,120,121
edge,377,378
edge,120,131
edge,120,132
edge,377,389
edge,136,137
edge,393,394
edge,136,148
edge,393,405
edge,152,153
edge,409,410
edge,152,164
edge,409,421
edge,168,169
edge,425,426
edge,168,179
edge,168,180
edge,425,437
edge,184,185
edge,441,442
edge,184,196
edge,441,453
edge,200,201
edge,457,458
edge,200,212
edge,457,469
edge,216,217
edge,473,474
edge,216,227
edge,216,228
edge,473,485
edge,232,233
edge,489,490
edge,232,244
edge,489,501
edge,248,249
edge,505,506
edge,248,260
edge,507,519
edge,264,265
edge,9,10
edge,523,524
edge,264,275
edge,264,276
edge,9,21
edge,523,535
edge,280,281
edge,25,26
edge,280,292
edge,25,37
edge,539,551
edge,296,297
edge,41,42
edge,555,556
edge,296,308
edge,41,53
edge,555,567
edge,312,313
edge,57,58
edge,571,572
edge,11,575
edge,312,323
edge,312,324
edge,57,69
edge,328,329
edge,73,74
edge,328,340
edge,73,85
edge,344,345
edge,89,90
edge,344,356
edge,89,101
edge,360,361
edge,105,106
edge,360,371
edge,360,372
edge,105,117
edge,376,377
edge,121,122
edge,376,388
edge,121,133
edge,392,393
edge,137,138
edge,392,404
edge,137,149
edge,408,409
edge,153,154
edge,408,419
edge,408,420
edge,153,165
edge,424,425
edge,169,170
edge,424,436
edge,169,181
edge,440,441
edge,185,186
edge,440,452
edge,185,197
edge,456,457
edge,201,202
edge,456,467
edge,456,468
edge,201,213
edge,472,473
edge,217,218
edge,472,484
edge,217,229
edge,488,489
edge,233,234
edge,488,500
edge,233,245
edge,504,505
edge,249,250
edge,504,515
edge,504,516
edge,251,263
edge,520,521
edge,10,11
edge,267,268
edge,520,532
edge,10,22
edge,267,279
edge,536,537
edge,26,27
edge,283,284
edge,536,548
edge,26,38
edge,283,295
edge,552,553
edge,42,43
edge,552,563
edge,552,564
edge,42,54
edge,299,311
edge,568,569
edge,58,59
edge,315,316
edge,58,70
edge,315,327
edge,74,75
edge,331,332
edge,74,86
edge,331,343
edge,90,91
edge,90,102
edge,347,359
edge,106,107
edge,363,364
edge,106,118
edge,363,375
edge,122,123
edge,379,380
edge,122,134
edge,379,391
edge,138,139
edge,138,150
edge,395,407
edge,154,155
edge,411,412
edge,154,166
edge,411,423
edge,170,171
edge,427,428
edge,170,182
edge,427,439
edge,186,187
edge,186,198
edge,443,455
edge,202,203
edge,459,460
edge,202,214
edge,459,471
edge,218,219
edge,475,476
edge,218,230
edge,475,487
edge,234,235
edge,234,246
edge,491,503
edge,250,251
edge,507,508
edge,505,517
edge,250,262
edge,521,522
edge,266,267
edge,521,533
edge,266,278
edge,11,23
edge,537,538
edge,282,283
edge,27,28
edge,537,549
edge,282,294
edge,27,39
edge,553,554
edge,298,299
edge,43,44
edge,553,565
edge,298,310
edge,43,55
edge,569,570
edge,314,315
edge,9,573
edge,314,326
edge,59,71
edge,330,331
edge,75,76
edge,330,342
edge,75,87
edge,346,347
edge,91,92
edge,346,358
edge,91,103
edge,362,363
edge,362,374
edge,107,119
edge,378,379
edge,123,124
edge,378,390
edge,123,135
edge,394,395
edge,139,140
edge,394,406
edge,139,151
edge,410,411
edge,410,422
edge,155,167
edge,426,427
edge,171,172
edge,426,438
edge,171,183
edge,442,443
edge,187,188
edge,442,454
edge,187,199
edge,458,459
edge,458,470
edge,203,215
edge,474,475
edge,219,220
edge,474,486
edge,219,231
edge,490,491
edge,235,236
edge,490,502
edge,235,247
edge,506,507
edge,253,265
edge,510,522
edge,12,13
edge,269,270
edge,526,527
edge,12,23
edge,12,24
edge,269,281
edge,526,538
edge,28,29
edge,285,286
edge,542,543
edge,28,40
edge,285,297
edge,542,554
edge,44,45
edge,301,302
edge,558,559
edge,44,56
edge,301,313
edge,558,570
edge,60,61
edge,317,318
edge,574,575
edge,60,71
edge,60,72
edge,317,329
edge,76,77
edge,333,334
edge,76,88
edge,333,345
edge,92,93
edge,349,350
edge,92,104
edge,349,361
edge,108,109
edge,365,366
edge,108,119
edge,108,120
edge,365,377
edge,124,125
edge,381,382
edge,124,136
edge,381,393
edge,140,141
edge,397,398
edge,140,152
edge,397,409
edge,156,157
edge,413,414
edge,156,167
edge,156,168
edge,413,425
edge,172,173
edge,429,430
edge,172,184
edge,429,441
edge,188,189
edge,445,446
edge,188,200
edge,445,457
edge,204,205
edge,461,462
edge,204,215
edge,204,216
edge,461,473
edge,220,221
edge,477,478
edge,220,232
edge,477,489
edge,236,237
edge,493,494
edge,236,248
edge,493,505
edge,252,253
edge,509,510
edge,511,512
edge,252,263
edge,252,264
edge,511,523
edge,268,269
edge,13,14
edge,268,280
edge,13,25
edge,527,539
edge,284,285
edge,29,30
edge,543,544
edge,284,296
edge,29,41
edge,543,555
edge,300,301
edge,45,46
edge,559,560
edge,300,311
edge,300,312
edge,45,57
edge,559,571
edge,316,317
edge,61,62
edge,316,328
edge,61,73
edge,332,333
edge,77,78
edge,332,344
edge,77,89
edge,348,349
edge,93,94
edge,348,359
edge,348,360
edge,93,105
edge,364,365
edge,109,110
edge,364,376
edge,109,121
edge,380,381
edge,125,126
edge,380,392
edge,125,137
edge,396,397
edge,141,142
edge,396,407
edge,396,408
edge,141,153
edge,412,413
edge,157,158
edge,412,424
edge,157,169
edge,428,429
edge,173,174
edge,428,440
edge,173,185
edge,444,445
edge,189,190
edge,444,455
edge,444,456
edge,189,201
edge,460,461
edge,205,206
edge,460,472
edge,205,217
edge,476,477
edge,221,222
edge,476,488
edge,221,233
edge,492,493
edge,237,238
edge,492,503
edge,492,504
edge,237,249
edge,508,509
edge,253,254
edge,255,256
edge,508,520
edge,255,267
edge,524,525
edge,14,15
edge,271,272
edge,524,536
edge,14,26
edge,271,283
edge,540,541
edge,30,31
edge,540,551
edge,540,552
edge,30,42
edge,287,299
edge,556,557
edge,46,47
edge,303,304
edge,556,568
edge,46,58
edge,303,315
edge,572,573
edge,62,63
edge,319,320
edge,62,74
edge,319,331
edge,78,79
edge,78,90
edge,335,347
edge,94,95
edge,351,352
edge,94,106
edge,351,363
edge,110,111
edge,367,368
edge,110,122
edge,367,379
edge,126,127
edge,126,138
edge,383,395
edge,142,143
edge,399,400
edge,142,154
edge,399,411
edge,158,159
edge,415,416
edge,158,170
edge,415,427
edge,174,175
edge,174,186
edge,431,443
edge,190,191
edge,447,448
edge,190,202
edge,447,459
edge,206,207
edge,463,464
edge,206,218
edge,463,475
edge,222,223
edge,222,234
edge,479,491
edge,238,239
edge,495,496
edge,238,250
edge,495,507
edge,254,255
edge,509,521
edge,254,266
edge,525,526
edge,270,271
edge,15,16
edge,525,537
edge,270,282
edge,15,27
edge,541,542
edge,286,287
edge,31,32
edge,541,553
edge,286,298
edge,31,43
edge,557,558
edge,302,303
edge,557,569
edge,302,314
edge,47,59
edge,573,574
edge,318,319
edge,63,64
edge,318,330
edge,63,75
edge,334,335
edge,79,80
edge,334,346
edge,79,91
edge,350,351
edge,350,362
edge,95,107
edge,366,367
edge,111,112
edge,366,378
edge,111,123
edge,382,383
edge,127,128
edge,382,394
edge,127,139
edge,398,399
edge,398,410
edge,143,155
edge,414,415
edge,159,160
edge,414,426
edge,159,171
edge,430,431
edge,175,176
edge,430,442
edge,175,187
edge,446,447
edge,446,458
edge,191,203
edge,462,463
edge,207,208
edge,462,474
edge,207,219
edge,478,479
edge,223,224
edge,478,490
edge,223,235
edge,494,495
edge,494,506
edge,239,251
edge,510,511
